name,place_id,address,rating,user_ratings_total,price_level,latitude,longitude,area,phone,website,opening_hours,types,photos,source,international_phone,reviews_summary
Banepa Futsal,ChIJFa29szEP6zkRYu48jlEg7As,"JGJ7+M2R, Ugratara Janagal 45210, Nepal",3.9,102,0,27.6317358,85.512532,Bhaktapur,984-1599881,,Monday: 6:00 AM – 7:00 PM; Tuesday: 6:00 AM – 7:00 PM; Wednesday: 6:00 AM – 7:00 PM; Thursday: 6:00 AM – 7:00 PM; Friday: 6:00 AM – 7:00 PM; Saturday: 6:00 AM – 7:00 PM; Sunday: 6:00 AM – 7:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1599881,"★3: Good place to play futsal... First in Banepa.. and has a restaurant and snooker in the same premise.... | ★4: You just have to reserve the match time and have a game there...but if you don't have opponents to p... | ★4: located at a perfect spot.
right next to the highway.lots of free space.
just the toilets and changi..."
Bode Futsal Training Centre,ChIJi_MbwFwa6zkRmJPNpTbHATY,"Dhunche Rd, Madhyapur Thimi 44600, Nepal",3.8,113,0,27.6885742,85.3872183,Bhaktapur,981-3401628,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 981-3401628,"★4: It's most cozy and comfortable futsal with reasonable price... | ★4: Good ground. Relatively cheap price.... | ★3: ""Decent facilities, but could use some updates. Staff are friendly but not always readily available...."
S. Glory Futsal,ChIJt2wJXG4b6zkRt0_MZHWnDqA,"MCC2+PF7, Suryabinayak, Nepal",3.8,126,0,27.6717969,85.4011742,Bhaktapur,984-0252869,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-0252869,"★5: someof the best futsals i've ever played price is low peaceful environment and great size but only p... | ★3: Futsal near Sirjananagar, Bhaktapur. Price  for one hour on Saturday is NRs. 1200 .... | ★3: I think its time for some maintainanace. Carpets need some changes..."
NSF - Nepal Sports Fellowship (Sports Complex),ChIJKRaItV8X6zkResKtrlwqwYY,"Bafal, ललितपुर 44700, Nepal",3.8,150,0,27.6571296,85.3352539,Bhaktapur,984-1763319,,Monday: 7:00 AM – 5:30 PM; Tuesday: 7:00 AM – 5:30 PM; Wednesday: 7:00 AM – 5:30 PM; Thursday: 7:00 AM – 5:30 PM; Friday: 7:00 AM – 5:30 PM; Saturday: 7:00 AM – 5:30 PM; Sunday: 7:00 AM – 5:30 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1763319,"★4: #sports
Decent place with great view from both inside and outside.

Situated nearly 2km away from Ri... | ★5: Very good football ground with a nice environment. It is well managed.... | ★5: Best sports complex in kathmandu valley
Football, volleyball, basketball, cricket for all sports big..."
Nayapati Futsal Arena,ChIJqXmXB2Ub6zkREOwvr7eoGuw,"Gokarneshwor 44603, Nepal",3.6,67,0,27.7458217,85.40911059999999,Bhaktapur,984-1413141,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1413141,★3: Its ok if u want to play a futsal game its a proper place u can go... | ★2: Not good environment and ground. however you can enjoy the game here.... | ★4: Beside parking and size of the ground its good place to have a good game...
Balkot Boys Futsal,ChIJzxz2Yvcb6zkRiDy1Edad1HQ,"M9C9+2JP, Anantalingeshwar 44600, Nepal",3.6,87,0,27.6700987,85.36906239999999,Bhaktapur,01-5211173,,Monday: 5:00 AM – 8:00 PM; Tuesday: 5:00 AM – 8:00 PM; Wednesday: 5:00 AM – 8:00 PM; Thursday: 5:00 AM – 8:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: 5:00 AM – 8:00 PM; Sunday: 5:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5211173,"★4: A wonderful place with wide ground for futsal lover. A little bit stinky problem of washroom but ove... | ★3: Location wise  it is a bit hard to find. The playing ground is big and the prices are also affordabl... | ★1: Worst futsal according to price and service.
Carpet: 1
There's a tear in partitions of carpet where ..."
Futsal Finder,ChIJDZ48Gwwb6zkRTGygO3X63Kc,"Shrijananagar, Bhaktapur 44800, Nepal",0.0,0,0,27.673864,85.42882809999999,Bhaktapur,,,,"point_of_interest, establishment",0,Google Places API,,
Nepal Mega College Futsal and Basketball Court,ChIJcZzvLgAZ6zkRfmLy4zh6tlk,"M8RG+XV8, Kathmandu 44600, Nepal",5.0,5,0,27.6924153,85.32719290000001,Kathmandu,,,,"point_of_interest, establishment",1,Google Places API,,★5: ... | ★5: ... | ★5: ...
merlion sporting academy,ChIJgWN3qzMZ6zkRXTLA8LftpLc,"P8FF+5PP, khursanitar marg, Kathmandu 44600, Nepal",5.0,3,0,27.7229549,85.32432759999999,Kathmandu,,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,,"★5: Best place to play basketball, badminton and lawn tannins... | ★5: ... | ★5: ..."
TipToe Sports Academy,ChIJAeHwJAAZ6zkRyARs4HxOtKY,"P8R7+J5M, Kathmandu 44600, Nepal",5.0,5,0,27.741577,85.31296309999999,Kathmandu,984-1416893,http://www.tiptoesportsacademy.com/,Monday: 5:00 – 7:00 PM; Tuesday: 5:00 – 7:00 PM; Wednesday: 5:00 – 7:00 PM; Thursday: 5:00 – 7:00 PM; Friday: 5:00 – 7:00 PM; Saturday: 9:00 – 11:00 AM; Sunday: 5:00 – 7:00 PM,"point_of_interest, establishment",0,Google Places API,+977 984-1416893,★5: Best academy in nepal... | ★5: ... | ★5: ...
Alpha D Futsal,ChIJ-a4fIQAb6zkR5TXjfVda-OU,"P9P8+RWG, Budhanilkantha 44600, Nepal",5.0,4,0,27.7370631,85.36732579999999,Kathmandu,986-6312669,,Monday: 5:30 AM – 10:00 PM; Tuesday: 5:30 AM – 10:00 PM; Wednesday: 5:30 AM – 10:00 PM; Thursday: 5:30 AM – 10:00 PM; Friday: 5:30 AM – 10:00 PM; Saturday: 5:30 AM – 10:00 PM; Sunday: 5:30 AM – 10:00 PM,"point_of_interest, establishment",1,Google Places API,+977 986-6312669,★5: It’s one of the best futsals I have played I go their every week... | ★5: futsal with very peace environment and price is so reasonable... | ★5: Nice...
Hope Rise Futsal,ChIJG2AHZgAb6zkRQoxPqq3WQGI,"M9PC+QPP, Madhyapur Thimi 44600, Nepal",4.9,10,0,27.6798946,85.4043164,Kathmandu,974-9878724,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",0,Google Places API,+977 974-9878724,"★5: The quality of the futsal court was excellent smooth turf, proper markings, and good lighting. The b... | ★5: NIce futsal... | ★5: Nice futsal..."
Royal Nepal Futsal,ChIJP_keTgAb6zkRIqmqegLRvbc,"M9QF+R8G, Bhaktapur 44600, Nepal",4.7,57,0,27.6895421,85.37332239999999,Kathmandu,985-1219819,,Monday: 5:00 AM – 10:00 PM; Tuesday: 5:00 AM – 10:00 PM; Wednesday: 5:00 AM – 10:00 PM; Thursday: 5:00 AM – 10:00 PM; Friday: 5:00 AM – 10:00 PM; Saturday: 5:00 AM – 10:00 PM; Sunday: 5:00 AM – 10:00 PM,"point_of_interest, establishment",1,Google Places API,+977 985-1219819,"★4: Royal Nepal futsal is a huge futsal where you can play 7-7 players and 5-5 as well. Good cafe restau... | ★5: Very Good Futsal ground size and pitch quality.

Cafe of the futsal is also nice... | ★5: If you're looking for an all-in-one futsal experience, this place is unbeatable! The 7-a-side big gr..."
Kick And Sip Futsal And Cafe Pvt.Ltd,ChIJsQEDSAAX6zkR24HxOTanj2A,"Mahalaxmi 44600, Nepal",4.7,23,0,27.6583216,85.35078999999999,Kathmandu,970-8394039,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 9:00 PM,"cafe, food, point_of_interest, establishment",1,Google Places API,+977 970-8394039,★4: Our group was probably the first team to play here. Almost a year and we have never looked back. The... | ★4: The ground is well maintained with parking space too. There also provide changing room for men... | ★5: Good space and turf...
Dreamers Futsal,ChIJN_4BQgAX6zkR0nFqzQCNyVo,"Sanagaun 44700, Nepal",4.7,26,0,27.6407655,85.3519925,Kathmandu,970-4398529,https://www.facebook.com/profile.php?id=61560985746247&sk=about,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,"point_of_interest, establishment",1,Google Places API,+977 970-4398529,"★5: It is very reasonable and chief futsal I am getting in valley. Very much beautiful environment havin... | ★5: Newly open
Nice turf with very reasonable pricing... | ★5: Nice place to play Footsal, also there is a Restaurant too...."
Football/cricket ground,ChIJhW8-nZQZ6zkRxeckyRLyqe8,"M7MV+M68, Kathmandu 44600, Nepal",4.7,3,0,27.6841596,85.2930672,Kathmandu,,,,"point_of_interest, establishment",1,Google Places API,,★4: Nice... | ★5: ... | ★5: ...
Cupon Sports Center,ChIJt9Mv8Nwb6zkRy_dTvmT45KY,"Cupon Sports Center, Budhanilkantha 44600, Nepal",4.5,103,0,27.741277,85.3561807,Kathmandu,984-1861487,http://cupon.com.np/,Monday: 6:30 AM – 8:00 PM; Tuesday: 6:30 AM – 8:00 PM; Wednesday: 6:30 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:30 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1861487,"★5: One of the best futsal. Everything is perfect. No complaints, ground space, wash room, changing room... | ★4: Great ground
Perfect to play 7a side
Spacious and properly managed
Well managed parking, dressing ro... | ★5: Perfect place to play futsal with happy environment and caffine also available with beautiful people..."
Balami Sports Center,ChIJofKGZR0Z6zkR94T3WbDtiMs,"Nagarjun 44600, Nepal",4.5,28,0,27.7130362,85.2737975,Kathmandu,984-1896323,,Monday: 5:00 AM – 10:00 PM; Tuesday: 5:00 AM – 10:00 PM; Wednesday: 5:00 AM – 10:00 PM; Thursday: 5:00 AM – 10:00 PM; Friday: 5:00 AM – 10:00 PM; Saturday: 5:00 AM – 10:00 PM; Sunday: 5:00 AM – 10:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1896323,"★4: Good futsal court for futsal lovers and have nice lighting to play in the evening time.... | ★5: This futsal is one of the best futsal around. The owner here is very friendly and helpful 5 v 5 size... | ★4: Located outside of ringroad which means easy to reach.
Futsal is ok Not that great
Overall it's good..."
Sports Hub Nepal,ChIJZcgbStMb6zkR7kpA63n_w0s,"Unnamed Road, 44600, 44600, Nepal",4.5,23,0,27.7319087,85.3637609,Kathmandu,984-1740333,,,"point_of_interest, establishment",1,Google Places API,+977 984-1740333,"★3: Beginner as well as professional players come here to play badminton.
Well facilitated Badminton 🏸 C... | ★5: Very friendly staff, feels like family, amazing quality court, and good prices. Will visit often 👍👍👍... | ★5: Good place for sports lover..."
Kaasthamandap Futsal Academy,ChIJKdTXShEZ6zkRKJiycnLM2DY,"कुमारी मार्ग, Kathmandu 44600, Nepal",4.4,130,0,27.7357534,85.34860739999999,Kathmandu,982-8758114,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 982-8758114,"★3: Futsal is impressive but lack of proper title .
Lack of parking
confusing to find out.
Conjusted are... | ★4: One of the new grounds in town
So the turf is great
The ground size is a bit weird as its length to ... | ★5: As a regular of the ""Kaasthamandap Futsal Academy"" in Kathmandu, I feel well-positioned to share my ..."
Elite Futsal Center,ChIJQV593d0b6zkRpx1i0y4xThs,"P9H6+348 सरस्वतीनगर रोड Boudha, 44600, Nepal",4.4,69,0,27.7280758,85.3603488,Kathmandu,985-1050725,https://instagram.com/elitefutsalcenter?igshid=NTc4MTIwNjQ2YQ==,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 985-1050725,★5: Ground Was really Good but need to change the balls⚽... Staff is so polite.. He served mineral water... | ★3: The ground is big and spacious but it can be difficult to play when it rains. One side of the ground... | ★3: No extra time...
Le Himalaya Futsal,ChIJN_-aGoQb6zkRPXBOduRsZK0,"P9C9+GGQ Srinagar, Boudha Rd 6, Kathmandu 44600, Nepal",4.4,31,0,27.7317275,85.3706586,Kathmandu,980-3437908,,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: 7:00 AM – 7:00 PM; Sunday: 7:00 AM – 7:00 PM,"point_of_interest, establishment",1,Google Places API,+977 980-3437908,★4: To be honest good futsal ground and environment also peaceful... | ★4: Hey! Footballer you can visit this spot. Really best Futsal for the footballers.... | ★5: Great place for 7side futsal....
Healthy Futsal,ChIJT2F9gZcb6zkR3bN8-WmkGsk,"Bhaktapur 44800, Nepal",4.3,121,0,27.6636636,85.42967379999999,Kathmandu,986-1613399,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 986-1613399,★4: The carpet is still good enough small restaurant available with clean restrooms. Also there is a par... | ★5: One of the Best Place for Futsal in Bhaktapur. I like it.... | ★5: Good place...
Dreams Sindhu Futsal and snooker house,ChIJPfrF7fQb6zkR5Y8VeyfSYLE,"MCJ3+24P, Nikoshera-Hindunagar Rd, Madhyapur Thimi, Nepal",4.3,45,0,27.6798761,85.40355629999999,Kathmandu,974-2449658,,Monday: 5:00 AM – 10:00 PM; Tuesday: 5:00 AM – 10:00 PM; Wednesday: 5:00 AM – 10:00 PM; Thursday: 5:00 AM – 10:00 PM; Friday: 5:00 AM – 10:00 PM; Saturday: 5:00 AM – 10:00 PM; Sunday: 5:00 AM – 10:00 PM,"point_of_interest, establishment",1,Google Places API,+977 974-2449658,★4: Very Clean and well maintained ground. Highly recommend.... | ★4: Ground could have been a bit bigger considering free space around the playing area. Ample parking sp... | ★4: all good...
Nagarjun futsal,ChIJH7kt5skZ6zkRkC9pyaa-290,"Unnamed Road, Kathmandu 44600, नागार्जुन 44600, Nepal",4.3,94,0,27.7322766,85.28455459999999,Kathmandu,986-3523510,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Closed; Sunday: Closed,"point_of_interest, establishment",1,Google Places API,+977 986-3523510,"★5: If you're into gaming or part of the football community, this spot near Radhakrishna Mandir is a bes... | ★5: Go to place for the game if you are nearby.... | ★4: Nice court in Raniban Buddha  chowk..."
OASIS Cricket Academy,ChIJmaM4d3wb6zkRW_Zud7DCZDI,"P974+476, Kathmandu 44600, Nepal",4.3,41,0,27.7127086,85.35561349999999,Kathmandu,974-1036763,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,"point_of_interest, establishment",1,Google Places API,+977 974-1036763,★4: I will go to get admission in club... | ★5: Very good... | ★5: What is the fees?...
Golfutar Basketball Court,ChIJtesw2lMZ6zkRX4hyaD85S1o,"P8XX+35X, Kathmandu 44600, Nepal",4.3,197,0,27.7477355,85.34798839999999,Kathmandu,,,Monday: 3:30 – 7:00 PM; Tuesday: 3:30 – 7:00 PM; Wednesday: 3:30 – 7:00 PM; Thursday: 3:30 – 7:00 PM; Friday: 3:30 – 7:00 PM; Saturday: 1:00 – 7:30 PM; Sunday: 1:00 – 7:30 PM,"point_of_interest, establishment",1,Google Places API,,"★4: It is nice court to play basketball for basketball games lover.... | ★5: Golfutar Basketball Court, known as गल्फुटार बास्केटबल मैदान in Nepali, is a popular outdoor sports ... | ★3: nice place to play basketball
friendly environment..."
Elite Futsal (Sports zone),ChIJowVSw2cZ6zkRfK0kqfxMvYI,"Khasibazar, Kirtipur 44600, Nepal",4.3,51,0,27.677388,85.274327,Kathmandu,984-0737438,,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-0737438,"★4: 8/10
Spacious xa
Recommended if you're nearby for some activities... | ★4: The futsal is spacious. The field is nice and the turf is good.  The field is large and good. The pa... | ★5: Space is good enough but the water facilities along with the washroom are in the maintenance phase a..."
Binayak futsal,ChIJMw3bAtER6zkRlYP2RzZqtwQ,"M949+97F, Changathali Rd, Mahalaxmi 44600, Nepal",4.2,73,0,27.6588966,85.3633775,Kathmandu,981-0014215,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 981-0014215,★4: Binayek Futsal is an excellent venue for futsal enthusiasts looking to enjoy high-quality indoor soc... | ★5: We were just looking for a place to play futsal but ended up staying for dinner too! The complex is ... | ★5: Popular sports for many in Nepal 🇳🇵 when open space for outdoor activities is decreasing!...
Pasa Futsal & Food Pasal,ChIJjwir260b6zkRl7_LDpzZdy4,"Aarubari 9, Gokarneshwor 44600, Nepal",4.2,40,0,27.7314093,85.37267179999999,Kathmandu,981-5545619,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 981-5545619,★5: NICE PLACE N GOOD GROUND... | ★3: Good place to play but very poor management Of bookings... | ★4: Price is really reasonable. Its good place for regular futsal player...
Wakhat-Sunakothi Futsal,ChIJvyfKGGQX6zkRqYioSAsEcEE,"Wakhat 27, Lalitpur 44700, Nepal",4.2,34,0,27.6251418,85.32241289999999,Kathmandu,,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,,★4: The turf was okay although it was a little slippery with visible rubber grains.... | ★5: good playing... | ★4: One of the best places for futsal lover . Calm and peaceful environment with good hospitality...
